feature,importance_mean,importance_std
fatalities_std_6m,0.11548607246348626,0.006927030173621335
fatalities_std_12m,0.10605546947946583,0.008691095044057542
regime_change_1m,0.06648390544316285,0.0056078207018628
regime_change_3m,0.05032266019493059,0.008493011255994339
gdp_per_capita_lag_12,0.049378348881540544,0.005292659352717946
fatalities_lag_3,0.03695520915411119,0.00293583933189369
fatalities_lag_1,0.03657077306137526,0.003867392671670297
log_gdp_per_capita,0.023932659555534187,0.004171202185406422
fatalities_mean_12m,0.02378374061040924,0.003687442067877022
fatalities_per_100k,0.020493267979407554,0.0037678420158803296
fatalities_mean_3m,0.015571845134577383,0.0020607007505480473
population_lag_12,0.009674525202551998,0.004374095377728636
fatalities_lag_6,0.008261463337595244,0.001922670092375416
fatalities_mean_6m,0.007092224109830614,0.0014358746910006937
months_active_12m,0.004963148430715758,0.003658295119782499
log_population,0.0019412822420460164,0.0036979842288479892
regime_lag_3,0.0010291309186544362,0.00027958330126227676
regime_lag_1,0.0008094069115739732,0.0011909739580534056
regime_lag_6,0.0,0.0
gdp_growth_lag_12,-0.0014636922676164287,0.0037708953363804164
