country,country_id,region,month,predicted_risk,fatalities_per_100k
Russia (Soviet Union),365,Europe,2025-12-01,0.6824816062016735,0.0369303678888974
Syria,652,Middle East,2025-12-01,0.6099136419607641,0.1639316940346076
Mali,432,Africa,2025-12-01,0.4158886315371813,0.1865166628232329
South Sudan,626,Africa,2025-12-01,0.3013900642321013,0.2297193125354219
Iran,630,Middle East,2025-12-01,0.2908345901132303,0.0043281761203248
Mozambique,541,Africa,2025-12-01,0.267594808483066,0.0392909080024999
Niger,436,Africa,2025-12-01,0.2661898547368985,0.1683511874543548
Tanzania,510,Africa,2025-12-01,0.2355333051359826,0.0
Haiti,41,Americas,2025-12-01,0.21544395744146047,0.2939670815662062
Brazil,140,Americas,2025-12-01,0.19489474099732793,0.015036717431956
Mexico,70,Americas,2025-12-01,0.1799019507566995,0.1151978561072673
Chad,483,Africa,2025-12-01,0.1774368275015109,0.0
Afghanistan,700,Asia,2025-12-01,0.1570848680516545,0.0136848481201956
Burkina Faso,439,Africa,2025-12-01,0.11959803880429268,0.735215318398078
Benin,434,Africa,2025-12-01,0.1038334662633278,0.0
Burundi,516,Africa,2025-12-01,0.06512858054240402,0.0069492688778452
Ecuador,130,Americas,2025-12-01,0.0636358147698648,0.1968299874422467
DR Congo (Zaire),490,Africa,2025-12-01,0.05932139766405928,0.459087695436756
Cameroon,471,Africa,2025-12-01,0.05916206562487475,0.1271781900649268
Philippines,840,Asia,2025-12-01,0.057744288921356725,0.0196939791960681
Lebanon,660,Middle East,2025-12-01,0.05442794963640611,0.256435636963043
Israel,666,Middle East,2025-12-01,0.048516654748351457,0.651993519579563
Thailand,800,Asia,2025-12-01,0.04703795739396918,0.0502653851767351
Indonesia,850,Asia,2025-12-01,0.046812146398870526,0.0027999318888568
India,750,Asia,2025-12-01,0.04661422169509387,0.0023909300002129
Colombia,100,Americas,2025-12-01,0.0421120348936177,0.1197926800495679
Togo,461,Africa,2025-12-01,0.04199172197438739,0.0
Egypt,651,Middle East,2025-12-01,0.0396540787320811,0.0
Ethiopia,530,Africa,2025-12-01,0.03781068313783934,0.2664756289841659
Papua New Guinea,910,Asia,2025-12-01,0.03667895106572333,0.0
Bangladesh,771,Asia,2025-12-01,0.03306595949717273,0.0
Ghana,452,Africa,2025-12-01,0.03265633878863395,0.0057038115606677
Central African Republic,482,Africa,2025-12-01,0.032145984787284566,1.4147652886248157
Yemen (North Yemen),678,Middle East,2025-12-01,0.027371458559241918,0.5577648309309469
Iraq,645,Middle East,2025-12-01,0.02713156783418504,0.0021267195644206
Kenya,501,Africa,2025-12-01,0.026959346775973773,0.0
Nigeria,475,Africa,2025-12-01,0.026586608178108484,0.1507192114478633
Pakistan,770,Asia,2025-12-01,0.02644114863950969,0.0873757502138727
Nepal,790,Asia,2025-12-01,0.024514809531859878,0.0
Rwanda,517,Africa,2025-12-01,0.02338974895194482,0.0
Uganda,500,Africa,2025-12-01,0.022041797992015257,0.0
Madagascar (Malagasy),580,Africa,2025-12-01,0.019998330861068038,0.0
Cambodia (Kampuchea),811,Asia,2025-12-01,0.018967171981461143,0.717167912876649
South Africa,560,Africa,2025-12-01,0.018759273774648352,0.0
Liberia,450,Africa,2025-12-01,0.018175774080562642,0.0
Sudan,625,Africa,2025-12-01,0.01613682975940511,1.490452961623914
United States of America,2,Americas,2025-12-01,0.015302931811431966,0.0
Argentina,160,Americas,2025-12-01,0.015067899255489778,0.0109047976704211
Honduras,91,Americas,2025-12-01,0.014940455886034654,0.0
Sierra Leone,451,Africa,2025-12-01,0.014806617271052298,0.0
Angola,540,Africa,2025-12-01,0.014769804682789192,0.0
Venezuela,101,Americas,2025-12-01,0.014769804682789192,0.0
Zambia,551,Africa,2025-12-01,0.014720233095434028,0.0
Guatemala,90,Americas,2025-12-01,0.014546149225424137,0.0428084917706828
Costa Rica,94,Americas,2025-12-01,0.01451974325608749,0.1164381567839781
Tajikistan,702,Asia,2025-12-01,0.014349694897136642,0.0
Senegal,433,Africa,2025-12-01,0.01382640373583618,0.0
Guinea,438,Africa,2025-12-01,0.01382640373583618,0.0
Morocco,600,Africa,2025-12-01,0.0135350581535477,0.0
Guyana,110,Americas,2025-12-01,0.013493827483414118,0.0
