country,month,actual,conflict_history_probability,full_model_probability,external_adjustment
Lebanon,2024-12-01,0,0.7194253899409769,0.2737882250527687,-0.44563716488820826
Russia (Soviet Union),2025-06-01,0,0.6749881225193637,0.29460992022120064,-0.38037820229816305
Haiti,2025-06-01,1,0.5905380605525732,0.23508549323848196,-0.35545256731409125
Azerbaijan,2021-02-01,0,0.6282661682191002,0.2764950396230758,-0.3517711285960244
Azerbaijan,2021-01-01,0,0.565344216654855,0.22284836821313478,-0.3424958484417202
Azerbaijan,2020-12-01,0,0.5301043727778367,0.2101987209400485,-0.31990565183778824
Azerbaijan,2021-03-01,0,0.8259435044072386,0.5187151831821977,-0.30722832122504096
Israel,2021-10-01,0,0.49130630885595394,0.1947616697802763,-0.29654463907567763
Azerbaijan,2021-04-01,0,0.6713322406076764,0.3832121370641412,-0.2881201035435352
Libya,2020-02-01,1,0.43630701771995706,0.1655811708081298,-0.2707258469118272
Lebanon,2025-06-01,0,0.7402227485855433,0.4702111013549274,-0.2700116472306159
Azerbaijan,2023-01-01,0,0.4440760553869221,0.18770219010570208,-0.25637386528121997
Azerbaijan,2021-09-01,0,0.62136767274323,0.36995248549285575,-0.25141518725037426
Ecuador,2021-10-01,1,0.4665673616091958,0.2184876953722485,-0.24807966623694733
Azerbaijan,2021-05-01,0,0.8303094487514882,0.5834657047002285,-0.24684374405125964
Lebanon,2025-02-01,0,0.5844369409015167,0.34021069361119993,-0.24422624729031672
Azerbaijan,2021-06-01,0,0.6910189448140539,0.4480524137499864,-0.24296653106406751
Lebanon,2025-01-01,0,0.5337411509441369,0.29270849947900807,-0.2410326514651288
Ecuador,2021-12-01,0,0.5043856881926004,0.26982213387574133,-0.2345635543168591
Afghanistan,2022-01-01,1,0.7408306994990956,0.5089161796137546,-0.23191451988534106
